Julian Welge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Category,,,,,Data,,Role,,,Pattern,,,Concern,,,Difficulty,,,Risk,,,Confidence,,,,Related Elements,,,,,,,
Element,,Noun,Adjective,Preposition,Verb,Other,Static,Dynamic,Input,Processing,Output,Behavioral,Structural,Creational,Model,View ,Controller,Easy,Moderate,Hard,Low,Moderate,High,Low,Moderate,High,,1,2,3,,,,,
1,acceleration ,x,,,,,,x,x,,,x,,,,x,x,,,x,,x,,,x,,,Turns,stops,Starts,,,,,
2,cab signaling,,,,x,,,x,,,x,,x,,,x,,x,,,,,x,,x,,,Signals ,Cars on track,Direction,,,,,
3,catenary wire,x,,,,,x,,,,x,,x,,x,,,,,x,,x,,,x,,,Weather,Material,Power source,,,,,
4,"coordinates, absolute ",x,,,,,,x,,,x,x,,,,x,,,,x,,,,,,,,,,,,,,,
5,"coordinates, relative ",x,,,,,,x,,,x,x,,,,x,,,,x,,,x,,x,,,,,,,,,,
6,"coordinates, world",x,,,,,,x,,,x,,x,,x,,,,,x,,,x,x,,,,,,,,,,,
7,crossing gate,x,,,,,x,,,,x,,x,,,x,,x,,,,,x,,x,,,,,,,,,,
8,"locomotive, diesel",x,,,,,x,,,,x,,x,,,,x,,,x,,x,,,x,,,,,,,,,,
9,"locomotive, diesel-electric",x,,,,,x,,,,x,,x,,,,x,,,x,,x,,,x,,,,,,,,,,
10,"locomotive, electric",x,,,,,x,,,,x,,x,,,,x,,,x,,x,,,x,,,,,,,,,,
11,"locomotive, multiple unitâ€¦",x,,,,,x,,,,x,x,,,x,,,,x,,,x,,,x,,,,,,,,,,
12,pantograph,x,,,,,x,,,,x,x,,,,x,,x,,,,x,,,x,,,,,,,,,,
13,Positive Train Control,x,,,,,x,,,x,,x,,,,x,,,,x,,,x,x,,,,,,,,,,,
14,push-pull train,,x,,,,x,,,x,,,x,,x,,,,x,,,x,,,x,,,,,,,,,,
15,rail yard,x,,,,,x,,,,x,,x,,x,,,x,,,x,,,,,x,,,,,,,,,
16,roundhouse,x,,,,,x,,,,x,,x,,x,,,x,,,x,,,,x,,,,,,,,,,
17,semaphore,x,,,,,x,,,,x,x,,,,,x,,x,,,,x,,x,,,,,,,,,,
18,sensor ,x,,,,,,x,,x,,x,,,,x,,x,,,,,x,,x,,,,,,,,,,
19,signal light,x,,,,,,x,,,x,x,,,,x,,,x,,,,x,,x,,,,,,,,,,
20,speed,x,,,,,,x,,,x,x,,,,x,,,x,,,,x,x,,,,,,,,,,,
21,"stock, rolling ",x,,,,,x,,,,x,,x,,x,,,x,,,x,,,,x,,,,,,,,,,
22,switch (track),x,,,,,x,,,,x,,x,,x,,,,,x,,,x,x,,,,,,,,,,,
23,"track, main line",x,,,,,x,,,,x,,x,,x,,,,x,,,,x,,,x,,,,,,,,,
24,"track, siding",x,,,,,x,,,,x,,x,,x,,,,x,,,x,,,x,,,,,,,,,,
25,"track, spur",x,,,,,x,,,,x,,x,,x,,,x,,,x,,,,,x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,${field},A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,,,,,,,,,
,${count},23,1,0,1,0,17,8,1,3,21,10,15,0,11,10,5,8,7,10,4,9,11,4,17,3,,,,,,,,,